編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLSJMHGGFCP09DA,39,127.68,住商用,加強磚造,70年12月21日,二層,一層 二層 騎樓
RPPNMLTJKHGGFDP88DA,18,214.88,住家用,鋼筋混凝土造,91年8月2日,四層,一層 二層 三層 四層
RPQNMLLJMHGGFBP18DA,,91.47,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPQNMLLJMHGGFBP18DA,,91.47,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPRNMLLJMHGGFBP28DA,,91.47,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPRNMLLJMHGGFBP28DA,,91.47,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPSNMLLJMHGGFBP38DA,,92.42,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPSNMLLJMHGGFBP38DA,,92.42,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPTNMLLJMHGGFBP48DA,,182.23,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPUNMLLJMHGGFBP58DA,,91.11,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPUNMLLJMHGGFBP58DA,,91.11,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPVNMLLJMHGGFBP68DA,,94.86,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPVNMLLJMHGGFBP68DA,,94.86,住家用,鋼筋混凝土造,110年1月13日,三層,一層 二層 三層
RPRNMLRJMHGGFDP09DA,,181.97,住家用,鋼筋混凝土造,109年12月29日,三層,一層 二層 三層
RPSOMLLJMHGGFEP78DA,,226.51,見其他登記事項,鋼筋混凝土造,110年1月24日,三層,一層 二層 三層 屋頂突出物
RPQNMLRJMHGGFBP88EA,3,242.52,店鋪、住宅,鋼筋混凝土造,107年7月31日,四層,一層 二層 三層 四層
