鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
岡山區,土地,華崗段841~870地號,330.6,,一般農業區,農牧用地,1100222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,28000,85,,0.0,0,含增建或未登記建物。；承租地坪約100坪，承租未保存登記建物約100坪,RPQOMLKKLHGGFFE57CC
橋頭區,土地,芋林段1651~1680地號,234.8,,工業區,丁種建築用地,1100227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,128,,0.0,0,含增建或未登記建物。；承租地坪約71坪，承租未保存登記建物約57坪,RPRPMLKKLHGGFFE77CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳仁路110巷331~360號,14.56,其他,,,1100309,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090304,90.98,2,2,1,有,有,有,15000,165,,0.0,0,,RPXNMLKKLHGGFGE28CC
鳳山區,建物,高雄市鳳山區光復路二段331~360號,0.0,住,,,1100222,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820607,132.49,4,2,2,有,有,有,13840,104,,0.0,0,,RPUQMLKKLHGGFGE28CC
楠梓區,房地(土地+建物),高雄市楠梓區常盛街282巷31~60號,88.07,住,,,1100211,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1030421,44.61,4,2,3,有,無,無,7000,157,,0.0,0,只租一樓,RPVOMLKKLHGGFEE97CC
左營區,房地(土地+建物),高雄市左營區南屏路361~390號,20.84,住,,,1100306,土地1建物2車位0,見其它登記事項,14,店面(店鋪),住商用,見其它登記事項,0881227,110.82,0,0,0,無,有,無,50000,451,,0.0,0,,RPVPMLKKLHGGFEE08CC
左營區,土地,福民段91~120地號,467.93,住,,,1100217,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,130000,278,,0.0,0,含增建或未登記建物。；1.承租未保存登記建物約90坪.,RPWPMLKKLHGGFEE18CC
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,5.42,商,,,1100303,土地1建物1車位0,十三層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,126.69,3,2,2,有,有,無,10500,83,,0.0,0,,RPXNMLKKLHGGFBE77CC
新興區,房地(土地+建物),高雄市新興區球庭路61~90號,7.52,商,,,1100226,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010509,81.55000000000001,2,1,1,有,有,有,18000,221,,0.0,0,,RPWOMLKKLHGGFBE77CC
鼓山區,建物,高雄市鼓山區河西一路1441~1470號,0.0,住,,,1100222,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960510,77.81,2,2,1,有,有,有,16000,206,,0.0,0,租金含管理費。,RPVPMLKKLHGGFAE67CC
前金區,建物,高雄市前金區允文街31~60號,0.0,商,,,1100222,土地0建物1車位0,十三層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940624,61.269999999999996,1,1,1,有,有,有,14000,228,,0.0,0,租金含管理費。,RPWPMLKKLHGGFAE77CC
三民區,建物,高雄市三民區義華路421巷1~30號,0.0,商,,,1100219,土地0建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900322,87.47999999999999,3,1,1,有,有,有,13000,149,坡道機械,11.57,0,租金含管理費。含機車車位。,RPXOMLKKLHGGFDE08CC
三民區,建物,高雄市三民區澄清路631~660號,0.0,住,,,1100222,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1090311,155.39,3,2,2,有,有,有,22000,142,坡道平面,22.18,0,租金含管理費。,RPTPMLKKLHGGFDE77CC
小港區,房地(土地+建物),高雄市小港區漢民路631~660號,86.0,住,,,1100227,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0730130,217.21,4,3,4,有,無,無,35000,161,,0.0,0,,RPROMLKKLHGGFCE37CC
前鎮區,建物,高雄市前鎮區英德街19巷1~30號,0.0,住,,,1100218,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730528,115.57,3,2,2,有,無,有,9000,78,,0.0,0,有2個承租方，以其中之一代表申報。第一年月租金為9000元，第二年月租金為10000元。,RPVOMLKKLHGGFCE77CC
小港區,土地,大業段1~30地號,767.0,商,,,1100305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,110000,143,,0.0,0,含增建或未登記建物。；該土地物有未保存登記之鐵皮屋.,RPOPMLKKLHGGFCE17CC
前鎮區,建物,高雄市前鎮區廣東三街331~360號,0.0,商,,,1100222,土地0建物1車位1,見其它登記事項,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930611,168.64000000000001,2,2,3,有,有,有,20000,119,坡道機械,7.27,0,含增建或未登記建物。；,RPPPMLKKLHGGFCE27CC
