交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,嘉豐北路1~30號,1090717,土地1建物1車位1,五層,二十三層,住宅大樓(11層含以上有電梯),1,85.47999999999999,1,2,1,有,有,6990000,91825,790000,060
房地(土地+建物)+車位,嘉豐北路1~30號,1100117,土地1建物1車位1,五層,二十三層,住宅大樓(11層含以上有電梯),1,85.47999999999999,1,1,1,有,有,7600000,88910,0,060
房地(土地+建物),新竹縣竹北市中興里嘉豐一街91~120號,1021001,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),1,184.73000000000002,3,2,2,有,無,9500000,51426,0,061
房地(土地+建物)+車位,嘉豐一街91~120號,1100301,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),9,184.73000000000002,4,2,2,有,有,12380000,67017,0,061
土地,綠獅段1021~1050地號,1060706,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,58330000,58985,0,062
土地,綠獅段1021~1050地號,1100206,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,24550000,81667,0,062
房地(土地+建物),新竹縣新豐鄉員山121~150號,1031219,土地3建物1車位0,全,四層,透天厝,8,180.06,4,2,4,有,無,7000000,38876,0,063
房地(土地+建物),員山121~150號,1100119,土地3建物1車位0,全,四層,透天厝,14,180.06,4,2,4,有,有,7000000,38876,0,063
土地,福林段571~600地號,1080122,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2900000,1695,0,064
土地,福林段571~600地號,1100322,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3000000,1754,0,064
房地(土地+建物)+車位,新竹縣竹北市六家五路一段211~240號,1040620,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),1,116.42,2,1,2,有,有,8150000,74426,400000,065
房地(土地+建物)+車位,新竹縣竹北市六家五路一段211~240號,1070320,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),4,116.42,2,2,1,有,有,8100000,69576,0,065
房地(土地+建物)+車位,六家五路一段211~240號,1100220,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),7,116.42,2,1,1,有,有,8290000,71208,0,065
房地(土地+建物)+車位,新竹縣竹東鎮興農街151~180號,1070429,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),0,210.66000000000003,4,2,2,有,有,7930000,37644,0,066
房地(土地+建物)+車位,興農街151~180號,1100129,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),3,210.66000000000003,4,2,2,有,有,9000000,42723,0,066
房地(土地+建物),信昌三街2巷1~30號,1090915,土地2建物1車位0,全,四層,透天厝,0,169.45,4,2,4,有,無,9850000,58129,0,067
房地(土地+建物),信昌三街2巷1~30號,1100315,土地2建物1車位0,全,四層,透天厝,1,169.45,4,2,4,有,無,9850000,58129,0,067
房地(土地+建物),信昌三街2巷1~30號,1090910,土地2建物1車位0,全,四層,透天厝,0,169.45,4,2,4,有,無,9800000,57834,0,068
房地(土地+建物),信昌三街2巷1~30號,1100310,土地2建物1車位0,全,四層,透天厝,1,169.45,4,2,4,有,無,9730000,57421,0,068
房地(土地+建物),新竹縣新豐鄉新庄子1~30號,1081224,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),0,96.22,3,2,2,有,有,4260000,44274,0,069
房地(土地+建物)+車位,新庄子1~30號,1100124,土地2建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),1,96.22,3,2,2,有,有,4500000,46768,0,069
房地(土地+建物),新竹縣新豐鄉坪頂二街53巷1~30號,1040320,土地2建物1車位0,全,四層,透天厝,1,228.17,4,1,4,有,無,10000000,43827,0,070
房地(土地+建物),坪頂二街53巷1~30號,1100120,土地2建物1車位0,全,四層,透天厝,7,228.17,4,2,4,有,無,12500000,54784,0,070
房地(土地+建物),新竹縣湖口鄉明德街229巷1~30號,1070618,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),23,123.53999999999999,3,2,2,有,有,3800000,30759,0,071
