編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPORMLLMLHGGFBH77DA,5,55.34,本共有部分之項目有：停車空間兼用防空避難室、水箱、梯間、消防泵浦室、汙水雨水機房、停車空間、發電機室、台電配電室、電信室、垃圾冷藏室、管委會使用空間、車道、公共服務空間、排煙室等共十四項,鋼筋混凝土造,105年8月24日,十五層,
RPVOMLQJMHGGFBH48DA,1,64.51,工業社區（社區住宅）,鋼筋混凝土造,108年12月18日,五層,四層
RPVOMLQJMHGGFBH48DA,1,29.73,本建物主要用途為：停車空間、樓梯間、機房等三項。,鋼筋混凝土造,108年12月18日,五層,
RPQPMLLMLHGGFBH77DA,5,170.95,集合住宅,鋼筋混凝土造,104年12月20日,十八層,六層
RPQPMLLMLHGGFBH77DA,5,58.97,本共有部分之項目有：防空避難室兼停車空間、停車空間、水箱、機房、車道、排煙室、中繼水箱、中繼水箱設備空間、污水機房、消防機房、台電配電室、垃圾暫存空間、防災中心、發電機室、電信機房等共十五項。,鋼筋混凝土造,104年12月20日,十八層,
RPQPMLLMLHGGFBH77DA,5,58.16,本共有部分之項目有：管委會空間、樓梯間、機房、機械室、水箱、梯廳、排煙室、出入口緩衝空間、陽台、管委會使用空間、中繼水箱設備空間等十一項。,鋼筋混凝土造,104年12月20日,十八層,
RPTPMLMJLHGGFCH97DA,3,78.37,見其他登記事項,鋼筋混凝土造,107年6月14日,十層,五層
RPTPMLMJLHGGFCH97DA,3,11.14,見其他登記事項,鋼筋混凝土造,107年6月14日,十層,
RPTPMLMJLHGGFCH97DA,3,10.35,見其他登記事項,鋼筋混凝土造,107年6月14日,十層,
RPTPMLMJLHGGFCH97DA,3,51.31,見其他登記事項,鋼筋混凝土造,107年6月14日,十層,
RPPQMLQJMHGGFBH08DA,40,73.74,住家用,鋼筋混凝土造,70年2月13日,四層,三層
RPTPMLLMLHGGFBH08DA,5,160.68,集合住宅,鋼筋混凝土造,104年12月20日,十八層,十四層
RPTPMLLMLHGGFBH08DA,5,83.56,本共有部分之項目有：防空避難室兼停車空間、停車空間、水箱、機房、車道、排煙室、中繼水箱、中繼水箱設備空間、污水機房、消防機房、台電配電室、垃圾暫存空間、防災中心、發電機室、電信機房等共十五項。,鋼筋混凝土造,104年12月20日,十八層,
RPTPMLLMLHGGFBH08DA,5,53.92,本共有部分之項目有：管委會空間、樓梯間、機房、機械室、水箱、梯廳、排煙室、出入口緩衝空間、陽台、管委會使用空間、中繼水箱設備空間等十一項。,鋼筋混凝土造,104年12月20日,十八層,
RPVQMLQJMHGGFBH68DA,18,205.41,住宅、樓梯間,鋼筋混凝土造,92年3月25日,四層,一層 二層 三層 四層 屋頂突出物
RPVOMLRJMHGGFBH58DA,6,329.40,住宅、住宅（附屬停車空間）,鋼筋混凝土造,104年5月25日,五層,一層 二層 三層 四層 五層
RPVOMLRJMHGGFBH58DA,6,.39,本共有部分之項目有：電信室、警衛室等共二項,鋼筋混凝土造,104年5月25日,五層,
RPPSMLRJMHGGFBH38DA,,81.66,住家用,加強磚造,,三層,三層
RPQQMLRJMHGGFBH28DA,8,91.71,集合住宅,鋼筋混凝土造,102年2月28日,十層,三層
RPQQMLRJMHGGFBH28DA,8,124.14,本共有部分項目為：停車空間、防空避難室、蓄水池、污水兼雨水回收機房、消防泵浦室、發電機室、台電配電場所、電信室、水景機房、垃圾處理空間、公共服務空間、管理室、機械室、水箱、梯間、車道等共１６項,鋼筋混凝土造,102年2月28日,十一層,
RPRQMLRJMHGGFBH38DA,28,83.81,住家用,鋼筋混凝土造,82年1月13日,五層,五層
RPRQMLRJMHGGFBH38DA,28,2.43,共有部分,鋼筋混凝土造,82年1月13日,五層,
RPUNMLMKMHGGFBH97DA,50,452.18,見其他登記事項,見其他登記事項,60年5月20日,一層,一層
RPSSMLRJMHGGFBH68DA,5,115.59,集合住宅,鋼筋混凝土造,104年10月7日,十三層,三層
RPSSMLRJMHGGFBH68DA,5,23.08,本建物主要用途為：管委會使用空間、管理室、樓梯間、電梯間、機房、水箱、機械室等七項。,鋼筋混凝土造,104年10月7日,十三層,
RPSSMLRJMHGGFBH68DA,5,52.33,本建物主要用途為：防空避難室兼停車空間、發電機室、台電受電室、垃圾冷藏室、電信室、樓梯間、電梯間、消防幫浦室、儲藏室、汙水處理機房、汙水處理池、水箱、停車空間等十三項,鋼筋混凝土造,104年10月7日,十三層,
RPRSMLRJMHGGFBH58DA,5,58.12,集合住宅,鋼筋混凝土造,104年10月7日,十三層,十一層
RPRSMLRJMHGGFBH58DA,5,58.12,集合住宅,鋼筋混凝土造,104年10月7日,十三層,十一層
RPRSMLRJMHGGFBH58DA,5,11.61,本建物主要用途為：管委會使用空間、管理室、樓梯間、電梯間、機房、水箱、機械室等七項。,鋼筋混凝土造,104年10月7日,十三層,
RPRSMLRJMHGGFBH58DA,5,11.61,本建物主要用途為：管委會使用空間、管理室、樓梯間、電梯間、機房、水箱、機械室等七項。,鋼筋混凝土造,104年10月7日,十三層,
RPRSMLRJMHGGFBH58DA,5,26.25,本建物主要用途為：防空避難室兼停車空間、發電機室、台電受電室、垃圾冷藏室、電信室、樓梯間、電梯間、消防幫浦室、儲藏室、汙水處理機房、汙水處理池、水箱、停車空間等十三項,鋼筋混凝土造,104年10月7日,十三層,
RPRSMLRJMHGGFBH58DA,5,26.25,本建物主要用途為：防空避難室兼停車空間、發電機室、台電受電室、垃圾冷藏室、電信室、樓梯間、電梯間、消防幫浦室、儲藏室、汙水處理機房、汙水處理池、水箱、停車空間等十三項,鋼筋混凝土造,104年10月7日,十三層,
RPRUMLRJMHGGFBH78DA,32,5.98,共有部分,鋼筋混凝土造,78年5月29日,五層,
RPRUMLRJMHGGFBH78DA,32,22.50,住家用,鋼筋混凝土造,78年5月29日,五層,五層
RPWOMLQKLHGGFCH68DA,31,203.21,住家用,鋼筋混凝土造,79年3月23日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLRJMHGGFCH48DA,41,81.00,住家用,加強磚造,68年9月15日,二層,一層 二層
RPVTMLRJMHGGFBH09DA,1,278.51,集合住宅、樓梯間,鋼筋混凝土造,109年2月26日,四層,一層 二層 三層 四層 見其他登記事項
RPVTMLRJMHGGFBH09DA,1,13.75,本共有部分之項目有：停車空間、管理委員會使用空間、樓梯間、機械房及梯廳等五項。,鋼筋混凝土造,109年2月26日,五層,
RPVOMLMKLHGGFCH18DA,7,93.50,集合住宅,鋼筋混凝土造,103年1月13日,十七層,三層
RPVOMLMKLHGGFCH18DA,7,52.58,集合住宅（附屬停車空間、管理員室、公共服務空間）,鋼筋混凝土造,103年1月13日,十七層,
RPVOMLMKLHGGFCH18DA,7,23.02,集合住宅（附屬樓梯間、機械室、水箱）,鋼筋混凝土造,103年1月13日,十七層,
RPSRMLQJMHGGFCH58DA,27,13.00,增設自用停車場,鋼筋混凝土造,83年6月23日,七層,地下層
RPSRMLQJMHGGFCH58DA,27,51.29,住家用,鋼筋混凝土造,83年6月23日,七層,六層
RPSRMLQJMHGGFCH58DA,27,8.13,樓梯間、水箱、蓄水池、機械室,鋼筋混凝土造,83年6月23日,七層,
RPSRMLQJMHGGFCH58DA,27,10.48,台電配電室、閱覽室、健身房、防空避難室、停車場、兒童遊戲室,鋼筋混凝土造,83年6月23日,七層,
RPVNMLRJMHGGFCH58DA,1,61.44,見其他登記事項,鋼筋混凝土造,109年3月23日,十四層,三層
RPVNMLRJMHGGFCH58DA,1,72.52,見其他登記事項,鋼筋混凝土造,109年3月23日,十四層,
RPPNMLSLLHGGFCH18DA,1,89.48,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,二層
RPPNMLSLLHGGFCH18DA,1,83.06,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPPNMLSLLHGGFCH18DA,1,6.13,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPQNMLSLLHGGFCH28DA,1,88.59,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,六層
RPQNMLSLLHGGFCH28DA,1,82.66,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPQNMLSLLHGGFCH28DA,1,6.13,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPTNMLSLLHGGFCH58DA,1,82.96,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,十三層
RPTNMLSLLHGGFCH58DA,1,79.86,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPTNMLSLLHGGFCH58DA,1,6.13,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPRNMLSLLHGGFCH38DA,1,41.48,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,十二層
RPRNMLSLLHGGFCH38DA,1,41.48,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,十二層
RPRNMLSLLHGGFCH38DA,1,39.93,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPRNMLSLLHGGFCH38DA,1,39.93,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPRNMLSLLHGGFCH38DA,1,3.07,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPRNMLSLLHGGFCH38DA,1,3.07,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPWNMLLJMHGGFCH08DA,25,60.02,住家用,鋼筋混凝土造,84年10月18日,五層,三層
RPWNMLLJMHGGFCH08DA,25,9.22,共有部份,鋼筋混凝土造,84年10月18日,七層,
RPWNMLLJMHGGFCH08DA,25,14.18,共有部份,鋼筋混凝土造,84年10月18日,七層,
RPUNMLSLLHGGFCH68DA,1,41.48,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,十四層
RPUNMLSLLHGGFCH68DA,1,41.48,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,十四層
RPUNMLSLLHGGFCH68DA,1,39.93,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPUNMLSLLHGGFCH68DA,1,39.93,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPUNMLSLLHGGFCH68DA,1,3.06,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPUNMLSLLHGGFCH68DA,1,3.06,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPSNMLSLLHGGFCH48DA,1,82.96,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,十三層
RPSNMLSLLHGGFCH48DA,1,79.86,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPSNMLSLLHGGFCH48DA,1,6.13,見其他登記事項,鋼筋混凝土造,109年1月20日,十四層,
RPTOMLSKLHGGFDH68DA,33,77.41,住家用,鋼筋混凝土造,77年6月6日,二層,一層 二層
RPPNMLNKLHGGFDH67DA,23,21.30,住家用,鋼筋混凝土造,86年12月24日,十三層,二層
RPPNMLNKLHGGFDH67DA,23,3.29,防空避難室、管理中心,鋼筋混凝土造,86年12月24日,十三層,
RPPNMLNKLHGGFDH67DA,23,5.50,樓梯間、電梯間、機房、水箱,鋼筋混凝土造,86年12月24日,十三層,
RPWOMLQJMHGGFDH78DA,2,63.13,集合住宅,鋼筋混凝土造,108年3月7日,十五層,二層
RPWOMLQJMHGGFDH78DA,2,13.56,本共有部分之項目有：梯間、水箱、機械室,鋼筋混凝土造,108年3月7日,十五層,
RPWOMLQJMHGGFDH78DA,2,38.97,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、梯間、雨水汙水機房、停車空間、電信室、台電配電場所、垃圾冷藏室、發電機房、集合住宅（附屬公共服務空間、管委會使用空間、梯間）等十項,鋼筋混凝土造,108年3月7日,十五層,
RPRNMLOLLHGGFDH08DA,1,219.24,作業廠房,鋼筋混凝土造,108年9月10日,十一層,十層
RPRNMLOLLHGGFDH08DA,1,181.93,作業廠房,鋼筋混凝土造,108年9月10日,十一層,十層
RPRNMLOLLHGGFDH08DA,1,125.42,本共有部分之項目有作業廠房（附屬管委會使用空間）、機電設備空間、防空避難室兼停車空間,鋼筋混凝土造,108年9月10日,十一層,
RPRNMLOLLHGGFDH08DA,1,91.13,本共有部分之項目有作業廠房（附屬管委會使用空間）、機電設備空間、防空避難室兼停車空間,鋼筋混凝土造,108年9月10日,十一層,
RPRNMLOLLHGGFDH08DA,1,74.55,本共有部分之項目有安全梯、電梯機房、水箱、機房,鋼筋混凝土造,108年9月10日,十一層,
RPRNMLOLLHGGFDH08DA,1,61.84,本共有部分之項目有安全梯、電梯機房、水箱、機房,鋼筋混凝土造,108年9月10日,十一層,
RPSNMLRJMHGGFDH38DA,,59.47,集合住宅,鋼筋混凝土造,109年12月18日,十五層,八層
RPSNMLRJMHGGFDH38DA,,55.15,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、污水及雨水回收機房、蓄水池、梯間、停車空間、發電機房、台電配電場所、電信室、垃圾冷藏室、集合住宅（附屬梯間、車道、門廳、公共服務空間）、集合住宅（附屬開放空間）、機房、水箱等１４項,鋼筋混凝土造,109年12月18日,十五層,
RPOPMLQJMHGGFDH08DA,7,90.80,住家用,鋼筋混凝土造,103年1月5日,十三層,八層
RPOPMLQJMHGGFDH08DA,7,55.05,本共有部分之項目有店舖、集合住宅（附屬防空避難室兼停車空間、附屬停車空間、附屬管理室、公共服務空間、附屬樓梯間、機械室、水箱）等九項,鋼筋混凝土造,103年1月5日,十四層,
RPOPMLQJMHGGFDH08DA,7,17.91,本共有部分之項目有集合住宅（附屬樓梯間、機械室、水箱）等四項,鋼筋混凝土造,103年1月5日,十四層,
RPRPMLQJMHGGFDH38DA,2,125.58,店舖、集合住宅（附屬儲藏室）,鋼筋混凝土造,108年4月18日,十五層,一層 見其他登記事項
RPRPMLQJMHGGFDH38DA,2,57.00,本共有部分之項目有：防空避難室兼停車空間、停車空間、集合住宅（附屬公共服務空間）、梯間、水箱、機械室,鋼筋混凝土造,108年4月18日,十五層,
RPRNMLRJMHGGFDH28DA,15,88.38,停車空間、住宅、樓梯間,鋼筋混凝土造,95年8月20日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLRJMHGGFDH28DA,15,88.38,停車空間、住宅、樓梯間,鋼筋混凝土造,95年8月20日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLSJMHGGFDH18DA,27,171.21,自用農舍,加強磚造,82年10月27日,二層,一層 二層
RPTNMLLJMHGGFDH87DA,,90.89,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層
